"All","Tất Cả"
"Jetline","đường bay"
"Freight worldwide","Vận chuyển hàng hóa trên toàn cầu"
"Jumbo box","Hộp giấy"
"DHL service is not available at %s date","Dịch vụ DHL không có sẵn tại %s ngày"
"The response is in wrong format.","Các phản ứng có định dạng sai."
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","Chúng tôi đã bỏ qua phương pháp DHL %1 bởi vì chúng tôi không thể tìm thấy tỷ giá %2 (cơ sở tiền tệ)."
"Zero shipping charge for '%1'","Miễn phí vận chuyển cho '%1'"
"DHL","DHL"
"Cannot identify measure unit for %1","Không thể xác định các đơn vị đo lường cho %1"
"Cannot identify weight unit for %1","Không thể xác định đơn vị trọng lượng cho %1"
"There is no items in this order","Không có sản phẩm nào trong đơn hàng này"
"Please specify origin country.","Hãy cho biết quốc gia ban đầu."
"uments","Tài liệu"
"Non uments","Không tài liệu"
"Height, width and length should be equal or greater than %1","Chiều cao, chiều rộng và chiều dài nên bằng hoặc lớn hơn %1"
"Unable to retrieve tracking","Không thể truy xuất theo dõi"
"Response is in the wrong format","Phản ứng sai định dạng"
"Error #%1 : %2","Lỗi #%1: %2"
"No packages for request","Không có gói theo yêu cầu"
"Unable to retrieve shipping label","Không thể truy xuất nhãn vận chuyển"
"Non documents","Không tài liệu"
"None","Không cái nào"
"The security validation of the XML document has failed.","The security validation of the XML document has failed."
"The response is in the wrong format","The response is in the wrong format"
"Field ","Trường "
" is required."," là bắt buộc."
"Enabled for Checkout","Được áp dụng cho thanh toán"
"Title","Tiêu đề"
"Access ID","Truy cập ID"
"Password","Mật khẩu"
"Account Number","Số tài khoản"
"Content Type (Non Domestic)","Content Type (Non Domestic)"
"Whether to use uments or Nonuments service for non domestic shipments. (Shipments within the EU are classed as domestic)","Whether to use uments or Nonuments service for non domestic shipments. (Shipments within the EU are classed as domestic)"
"Calculate Handling Fee","Tính toán chi phí xử lý"
"Handling Applied","Xử lý được áp dụng"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Mỗi đơn đặt hàng"" cho phép một khoản phí xử lý đối với toàn bộ đơn hàng. ""Mỗi gói"" cho phép một khoản phí xử lý cá nhân."
"Handling Fee","Lệ phí xử lý"
"Divide Order Weight","Phân chia trọng lượng đơn đặt hàng"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Tùy chọn này cho phép DHL để tối ưu hóa chi phí vận chuyển bằng cách chia tách đơn đặt hàng nếu nó vượt quá 70kg."
"Weight Unit","Đơn vị trọng lượng"
"Size","Kích cỡ"
"SIZE","Kích cỡ"
SIZE,Kích cỡ
"SIZE :","Kích cỡ :"
SIZE :,Kích cỡ :
"uments Allowed Methods","uments Allowed Methods"
"Non uments Allowed Methods","Non uments Allowed Methods"
"Ready time","Ready time"
"Package ready time after order submission (in hours).","Package ready time after order submission (in hours)."
"Displayed Error Message","Hiển thị Thông báo lỗi"
"Free Method","Phương pháp miễn phí"
"Enable Free  Threshold","Cho phép ngưỡng để miễn phí vận chuyển"
"Free  Amount Threshold","Ngưỡng Miễn phí số tiền vận chuyển"
"Ship to Applicable Countries","Vận chuyển đến quốc gia áp dụng"
"Ship to Specific Countries","Vận chuyển đến quốc gia cụ thể"
"Show Method if Not Applicable","Hiển thị Phương pháp nếu không áp dụng được"
"Sort Order","Thứ tự sắp xếp"
"Debug","Sửa Lỗi"
"Sandbox Mode","Sandbox Mode"
"--Please Select--","--Vui lòng chọn--"
"lbs","lbs"
"kgs","kgs"
"The country isn't available.","The country isn't available."
"Undefined rate from ""%1-%2"".","Không xác định tỷ lệ từ ""%1-%2""."
"Please correct the target currency.","Xin vui lòng chính xác tiền tệ mục tiêu."
"label","nhãn"
"We can't retrieve a rate from %1 for %2.","Chúng tôi không thể truy xuất một tỷ lệ từ %1 cho %2."
"No API Key was specified or an invalid API Key was specified.","No API Key was specified or an invalid API Key was specified."
"Currency rates can't be retrieved.","Currency rates can't be retrieved."
"The account this API request is coming from is inactive.","The account this API request is coming from is inactive."
"The ""%1"" is not allowed as base currency for your subscription plan.","The ""%1"" is not allowed as base currency for your subscription plan."
"An invalid base currency has been entered.","An invalid base currency has been entered."
"FATAL ERROR:","LỖI NGHIÊM TRỌNG:"
"The import model can't be initialized. Verify the model and try again.","The import model can't be initialized. Verify the model and try again."
"Please specify the correct Import Service.","Hãy chỉ ra các dịch vụ nhập khẩu chính xác."
"WARNING:","Cảnh báo:"
"Please correct the country code: %1.","Xin vui lòng nhập chính xác mã quốc gia: %1."
"Country and Format Type combination should be unique","Kết hợp nước và các loại định dạng nên là duy nhất"
"Please correct the rates received","Xin vui lòng làm chính xác tỷ lệ nhận được"
"Please select a region, state or province.","Vui lòng chọn khu vực, bang hay tỉnh."
"Currency","Ngoại tệ"
"Your current currency is: %1.","Đơn vị tiền tệ hiện tại là: %1."
"Continue","Tiếp tục"
"Currency Update Warnings","Cảnh báo cập nhật tiền tệ"
"Currency Setup","Thiết lập tiền tệ"
"Currency Options","Lựa chọn tiền tệ"
"Base Currency","Tiền tệ cơ sở"
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > """" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > """" > ""Catalog Price Scope"")."
"Default Display Currency","Mặc định Hiển thị tiền tệ"
"Allowed Currencies","Cho phép các loại tiền tệ"
"Fixer.io","Fixer.io"
"API Key","API Key"
"Connection Timeout in Seconds","Thời gian chờ kết nối trong vài giây"
"Currency Converter API","Currency Converter API"
" Import Settings","Thiết đặt chuyển nhập dự kiến"
"Enabled","Cho phép"
"Error  Recipient","Lỗi  người nhận"
"Error  Sender","Lỗi  người gửi"
"Error  Template","Lỗi  mẫu"
" template chosen based on theme fallback when ""Default"" option is selected.","Mẫu  được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"Frequency","Tần Suất"
"Service","Dịch vụ"
"Start Time","Thời Gian Bắt Đầu"
"Installed Currencies","Cài đặt các loại tiền tệ"
"Zip/Postal Code is Optional for","Zip/Postal Code là tùy chọn cho"
"State Options","Lựa chọn tiểu bang"
"State is Required for","Bang là bắt buộc cho"
"Allow to Choose State if It is Optional for Country","Cho phép để chọn bang nếu nó là tùy chọn quốc gia"
"Weight Unit","Đơn vị trọng lượng"
"ument is not saved due to error.","Tài liệu không được lưu vì lỗi."
"More than one node matching the query: %1","Nhiều hơn một nút phù hợp với truy vấn: %1"
"Invalid XML in file %1:\n%2","XML không hợp lệ trong tập tin %1:\n%2"
"Invalid ument \n%1","Tài liệu Không hợp lệ \n%1"
" Information","Thông tin có thể tải về"
"Add New Link","Thêm liên kết mới"
"Upload Files","Tải lên tập tin"
"All Files","Tất cả các tệp"
"Unlimited","Không giới hạn"
"Upload type can not be determined.","Upload type can not be determined."
"File can not be moved from temporary folder to the destination folder.","File can not be moved from temporary folder to the destination folder."
"Something went wrong while getting the requested content.","Một cái gì đó đã đi sai trong khi nhận được nội dung được yêu cầu."
"My  Products","Sản phẩm có thể tải về của tôi"
"We can't find the link you requested.","Chúng tôi không thể tìm thấy các liên kết mà bạn yêu cầu."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Xin vui lòng đăng nhập để tải về sản phẩm của bạn hoặc mua <a href=""%1"">%2</a>."
"Please sign in to download your product.","Xin vui lòng đăng nhập để tải về sản phẩm của bạn."
"The link has expired.","Các liên kết đã hết hạn."
"The link is not available.","Liên kết không có sẵn."
"Sorry, there was an error getting requested content. Please contact the store owner.","Xin lỗi, đã có một lỗi khi nhận nội dung được yêu cầu. Xin vui lòng liên hệ với người quản lý."
"Please set resource file and link type.","Xin vui lòng thiết lập tập tin tài nguyên và các loại liên kết."
"Invalid download link type.","Kiểu liên kết tải xuống không hợp lệ."
"Something went wrong while saving the file(s).","Một cái gì đó đã đi sai trong khi lưu tệp."
"Provided content must be valid base64 encoded data.","Nội dung được cung cấp phải là base64 mã hóa dữ liệu hợp lệ."
"Provided file name contains forbidden characters.","Tên tệp Cung cấp chứa ký tự bị cấm."
"Link file not provided","Liên kết tập tin không được cung cấp"
"Link price must have numeric positive value.","Liên kết giá phải có giá trị là số dương."
"Number of downloads must be a positive integer.","Số lượng tải phải là số nguyên dương."
"Sort order must be a positive integer.","Thứ tự sắp xếp phải là số nguyên dương."
"Link URL must have valid format.","Liên kết URL phải có định dạng hợp lệ."
"Link URL's domain is not in list of downloadable_domains in env.php.","Link URL's domain is not in list of downloadable_domains in env.php."
"Provided file content must be valid base64 encoded data.","Nội dung tập tin được cung cấp phải là base64 mã hóa dữ liệu hợp lệ."
"Link file not found. Please try again.","Link file not found. Please try again."
"Sample URL must have valid format.","Mẫu URL phải có định dạng hợp lệ."
